"model","exp_id","compute_tier","theta_id","facet_lab","n","gamma","gamma_lab","net_size","mu_star","sigma_star","mu_hat","sigma_hat","a_dstat","e_orbit","decode_time"
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00539108229625673,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00693202196387965,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00495122020044847,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00573660809781795,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00329464437286953,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00675269095931619,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0105699106523722,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0124436192514922,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00594448540793124,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0124074656549932,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00562285286313469,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0179084143676218,0.1,0.0400000000008731
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00550881281589344,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00633870788140933,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00505681836948724,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00480159272070879,0.1,0.00999999999839929
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00906120098710683,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00482368825424218,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00401380870659507,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00906682416720861,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00872312159946642,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.0149427682302384,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00733584257288789,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00534502988262608,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00294360182440256,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00630034903941856,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00912753886610584,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00802921969391668,0.1,0.0100000000020373
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00916874165096859,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0075092173402308,0.1,1e-06
