theta_id,facet_lab,mu_star,sigma_star,n,q10,q25,q50,q75,q90
5,"mu=3.00, sigma=0.50",3,0.5,800,0.007059015836445828,0.010701120990835023,0.01840172037849617,0.026129768985106477,0.032356924333050714
5,"mu=3.00, sigma=0.50",3,0.5,1600,0.005249386173211817,0.008713956615095818,0.013054408003954061,0.018648366109820878,0.024030080371827543
6,"mu=0.30, sigma=1.25",0.3,1.25,25,0.30783186870587387,0.3866659299376311,0.6687060709431603,0.838130557529923,0.9682083763273941
6,"mu=0.30, sigma=1.25",0.3,1.25,50,0.30076379956789745,0.31546512242522945,0.4774545727695696,0.7006153815103633,0.8311163026072335
6,"mu=0.30, sigma=1.25",0.3,1.25,100,0.3002172341133411,0.30675180007728764,0.38579316472408676,0.6445742377280925,0.7380311679970184
6,"mu=0.30, sigma=1.25",0.3,1.25,200,0.300000937267514,0.3016230767427395,0.32182349480649075,0.5289533885181661,0.6412517921550468
6,"mu=0.30, sigma=1.25",0.3,1.25,400,0.228973853810006,0.30079900040105645,0.3091327755183805,0.46008590423281676,0.5605223141128591
6,"mu=0.30, sigma=1.25",0.3,1.25,800,0.17921200833269108,0.3000814394927593,0.30449794049843854,0.3832188718068842,0.4713053395637009
6,"mu=0.30, sigma=1.25",0.3,1.25,1600,0.13961084116073405,0.28497003220855754,0.3018176145003087,0.32024182247423344,0.3992160393341231
7,"mu=0.75, sigma=1.25",0.75,1.25,25,0.2320696309937751,0.3655518275126022,0.5598504625215318,0.7531325904599824,0.8007851785161377
7,"mu=0.75, sigma=1.25",0.75,1.25,50,0.17812128679765993,0.310157004941171,0.50353639271868,0.7528940793667225,0.7938150272097904
7,"mu=0.75, sigma=1.25",0.75,1.25,100,0.11519104246772222,0.20857453026233358,0.3496276453955175,0.5985034268770225,0.778327074856077
7,"mu=0.75, sigma=1.25",0.75,1.25,200,0.08896356857876371,0.1608924161427226,0.27766088929732646,0.7528430230972256,0.780354593409635
7,"mu=0.75, sigma=1.25",0.75,1.25,400,0.05566450735917904,0.11359588035643846,0.20848485923314705,0.5771485272108627,0.7808664188494725
7,"mu=0.75, sigma=1.25",0.75,1.25,800,0.038190066770407115,0.07640737192881283,0.1555221176095401,0.2660026837033544,0.7701746365017837
7,"mu=0.75, sigma=1.25",0.75,1.25,1600,0.029071461332044825,0.059686187858131,0.11245451762014376,0.19043354636327836,0.47985713144206193
8,"mu=1.50, sigma=1.25",1.5,1.25,25,0.1373352926620625,0.2175004326591175,0.33310829485518856,0.4725718528559963,0.7222673909664366
8,"mu=1.50, sigma=1.25",1.5,1.25,50,0.10993008499311967,0.17538464408441845,0.2606542398635766,0.3633021785781697,0.5111694649723754
8,"mu=1.50, sigma=1.25",1.5,1.25,100,0.07545840563071736,0.1234069520181453,0.18352612499814913,0.2616147636023059,0.3433529058083919
8,"mu=1.50, sigma=1.25",1.5,1.25,200,0.04863662444815925,0.08248981944792799,0.1263683194896138,0.1890910679093869,0.25848798575550963
8,"mu=1.50, sigma=1.25",1.5,1.25,400,0.03242832477018778,0.053696440746386465,0.09167085046272927,0.13858048464744757,0.17885528282784105
8,"mu=1.50, sigma=1.25",1.5,1.25,800,0.024361765916445635,0.04146257245237339,0.0661494450934761,0.096653604482666,0.1346169518234048
8,"mu=1.50, sigma=1.25",1.5,1.25,1600,0.0171817644263324,0.028419955260218604,0.04406132026330804,0.06504473210272335,0.08715912702201403
9,"mu=2.25, sigma=1.25",2.25,1.25,25,0.11892704338557054,0.18942290210511115,0.29002974944672033,0.4192217619042424,0.5255342963327171
9,"mu=2.25, sigma=1.25",2.25,1.25,50,0.08059894555125775,0.13859464754767933,0.21956738253982733,0.3025128033703304,0.4132528539997966
9,"mu=2.25, sigma=1.25",2.25,1.25,100,0.05668958450478872,0.09019277820928048,0.142760730291498,0.2079764450992046,0.2739094370792882
9,"mu=2.25, sigma=1.25",2.25,1.25,200,0.04734960868621497,0.07902894670655462,0.11337785729519756,0.15580772408659138,0.20014634282742313
9,"mu=2.25, sigma=1.25",2.25,1.25,400,0.02814049856549054,0.04409720005425807,0.07138722439053602,0.10298910339920775,0.13851736662639486
9,"mu=2.25, sigma=1.25",2.25,1.25,800,0.020807415321297314,0.03506581610384006,0.05489413269878782,0.07724779999683096,0.09767976267657265
