theta_id,facet_lab,mu_star,sigma_star,n,eps,p_success
5,"mu=3.00, sigma=0.50",3,0.5,50,0.2,0.976
5,"mu=3.00, sigma=0.50",3,0.5,100,0.05,0.484
5,"mu=3.00, sigma=0.50",3,0.5,100,0.1,0.942
5,"mu=3.00, sigma=0.50",3,0.5,100,0.2,1
5,"mu=3.00, sigma=0.50",3,0.5,200,0.05,0.736
5,"mu=3.00, sigma=0.50",3,0.5,200,0.1,0.994
5,"mu=3.00, sigma=0.50",3,0.5,200,0.2,1
5,"mu=3.00, sigma=0.50",3,0.5,400,0.05,0.934
5,"mu=3.00, sigma=0.50",3,0.5,400,0.1,1
5,"mu=3.00, sigma=0.50",3,0.5,400,0.2,1
5,"mu=3.00, sigma=0.50",3,0.5,800,0.05,0.994
5,"mu=3.00, sigma=0.50",3,0.5,800,0.1,1
5,"mu=3.00, sigma=0.50",3,0.5,800,0.2,1
5,"mu=3.00, sigma=0.50",3,0.5,1600,0.05,1
5,"mu=3.00, sigma=0.50",3,0.5,1600,0.1,1
5,"mu=3.00, sigma=0.50",3,0.5,1600,0.2,1
6,"mu=0.30, sigma=1.25",0.3,1.25,25,0.05,0.002
6,"mu=0.30, sigma=1.25",0.3,1.25,25,0.1,0.002
6,"mu=0.30, sigma=1.25",0.3,1.25,25,0.2,0.006
6,"mu=0.30, sigma=1.25",0.3,1.25,50,0.05,0
6,"mu=0.30, sigma=1.25",0.3,1.25,50,0.1,0.006
6,"mu=0.30, sigma=1.25",0.3,1.25,50,0.2,0.024
6,"mu=0.30, sigma=1.25",0.3,1.25,100,0.05,0
6,"mu=0.30, sigma=1.25",0.3,1.25,100,0.1,0.006
6,"mu=0.30, sigma=1.25",0.3,1.25,100,0.2,0.018
6,"mu=0.30, sigma=1.25",0.3,1.25,200,0.05,0.006
6,"mu=0.30, sigma=1.25",0.3,1.25,200,0.1,0.018
6,"mu=0.30, sigma=1.25",0.3,1.25,200,0.2,0.048
6,"mu=0.30, sigma=1.25",0.3,1.25,400,0.05,0.008
6,"mu=0.30, sigma=1.25",0.3,1.25,400,0.1,0.02
6,"mu=0.30, sigma=1.25",0.3,1.25,400,0.2,0.07
6,"mu=0.30, sigma=1.25",0.3,1.25,800,0.05,0.018
6,"mu=0.30, sigma=1.25",0.3,1.25,800,0.1,0.04
6,"mu=0.30, sigma=1.25",0.3,1.25,800,0.2,0.118
6,"mu=0.30, sigma=1.25",0.3,1.25,1600,0.05,0.03
6,"mu=0.30, sigma=1.25",0.3,1.25,1600,0.1,0.072
6,"mu=0.30, sigma=1.25",0.3,1.25,1600,0.2,0.146
7,"mu=0.75, sigma=1.25",0.75,1.25,25,0.05,0.004
7,"mu=0.75, sigma=1.25",0.75,1.25,25,0.1,0.02
7,"mu=0.75, sigma=1.25",0.75,1.25,25,0.2,0.07
7,"mu=0.75, sigma=1.25",0.75,1.25,50,0.05,0.006
7,"mu=0.75, sigma=1.25",0.75,1.25,50,0.1,0.028
7,"mu=0.75, sigma=1.25",0.75,1.25,50,0.2,0.134
7,"mu=0.75, sigma=1.25",0.75,1.25,100,0.05,0.018
7,"mu=0.75, sigma=1.25",0.75,1.25,100,0.1,0.078
7,"mu=0.75, sigma=1.25",0.75,1.25,100,0.2,0.234
7,"mu=0.75, sigma=1.25",0.75,1.25,200,0.05,0.032
7,"mu=0.75, sigma=1.25",0.75,1.25,200,0.1,0.12
7,"mu=0.75, sigma=1.25",0.75,1.25,200,0.2,0.326
7,"mu=0.75, sigma=1.25",0.75,1.25,400,0.05,0.092
7,"mu=0.75, sigma=1.25",0.75,1.25,400,0.1,0.2
7,"mu=0.75, sigma=1.25",0.75,1.25,400,0.2,0.474
7,"mu=0.75, sigma=1.25",0.75,1.25,800,0.05,0.164
