theta_id,facet_lab,mu_star,sigma_star,eps,delta,target,n_thr
14,"mu=2.25, sigma=2.00",2.25,2,0.05,0.1,0.9,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.1,0.05,0.95,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.1,0.1,0.9,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.2,0.05,0.95,1600
14,"mu=2.25, sigma=2.00",2.25,2,0.2,0.1,0.9,1600
15,"mu=3.00, sigma=2.00",3,2,0.05,0.05,0.95,NA
15,"mu=3.00, sigma=2.00",3,2,0.05,0.1,0.9,NA
15,"mu=3.00, sigma=2.00",3,2,0.1,0.05,0.95,NA
15,"mu=3.00, sigma=2.00",3,2,0.1,0.1,0.9,NA
15,"mu=3.00, sigma=2.00",3,2,0.2,0.05,0.95,1600
15,"mu=3.00, sigma=2.00",3,2,0.2,0.1,0.9,800
