"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","net_size","tau","tie_rule","p_success","p_se","time_eval_med","time_eval_mean"
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.1,0.05,1891,0.05,"uniform",0.193333333333333,0.0322444367868894,0.139999999999418,0.133600000000006
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0,"uniform",0.14,0.0283313724811677,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,1e-04,"uniform",0.293333333333333,0.0371742642956915,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,5e-04,"uniform",0.366666666666667,0.0393465137991684,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0.001,"uniform",0.433333333333333,0.0404603143467403,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0.002,"uniform",0.3,0.0374165738677394,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0.005,"uniform",0.353333333333333,0.03902895411434,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0.01,"uniform",0.293333333333333,0.0371742642956915,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0.02,"uniform",0.28,0.0366606055596467,0.25,0.249133333333339
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,1891,0.05,"uniform",0.166666666666667,0.0304290309725092,0.25,0.249133333333339
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0,"uniform",0.133333333333333,0.0277555466595484,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,1e-04,"uniform",0.14,0.0283313724811677,0.0599999999994907,0.0567333333333348
