theta_id,facet_lab,mu_star,sigma_star,n,disc_neg_rate,v_neg_rate,sigma_zero_rate,mean_err,median_err
9,"mu=2.25, sigma=1.25",2.25,1.25,200,0,0,0,0.12155717705129032,0.11337785729519756
9,"mu=2.25, sigma=1.25",2.25,1.25,400,0,0,0,0.0776997561351104,0.07138722439053602
9,"mu=2.25, sigma=1.25",2.25,1.25,800,0,0,0,0.05785489646387156,0.05489413269878782
9,"mu=2.25, sigma=1.25",2.25,1.25,1600,0,0,0,0.03971119578421366,0.03820723013778417
10,"mu=3.00, sigma=1.25",3,1.25,25,0,0,0,0.2976952812329775,0.28080273971542485
10,"mu=3.00, sigma=1.25",3,1.25,50,0,0,0,0.21918701393914014,0.20273298004625756
10,"mu=3.00, sigma=1.25",3,1.25,100,0,0,0,0.14892616639012313,0.13860749352235238
10,"mu=3.00, sigma=1.25",3,1.25,200,0,0,0,0.1059110818470828,0.09668365725313506
10,"mu=3.00, sigma=1.25",3,1.25,400,0,0,0,0.0723184182635789,0.0678764542439898
10,"mu=3.00, sigma=1.25",3,1.25,800,0,0,0,0.05210838841524449,0.04858707264136139
10,"mu=3.00, sigma=1.25",3,1.25,1600,0,0,0,0.03663403746535287,0.0343231807720504
11,"mu=0.30, sigma=2.00",0.3,2,25,0.26,0,0,1.0880699260730466,1.2209328842957534
11,"mu=0.30, sigma=2.00",0.3,2,50,0.366,0,0,0.8652374947526615,0.8891978344129385
11,"mu=0.30, sigma=2.00",0.3,2,100,0.342,0,0,0.7696130868036907,0.7743383116682244
11,"mu=0.30, sigma=2.00",0.3,2,200,0.37,0,0,0.6985248217464736,0.6717034772605306
11,"mu=0.30, sigma=2.00",0.3,2,400,0.438,0,0,0.5915212622317387,0.4780443401483423
11,"mu=0.30, sigma=2.00",0.3,2,800,0.456,0,0,0.5252104606986718,0.3342164354729876
11,"mu=0.30, sigma=2.00",0.3,2,1600,0.494,0,0,0.4608582279198312,0.3087743478958288
12,"mu=0.75, sigma=2.00",0.75,2,25,0.282,0,0,0.9443461067513758,0.9068464887774081
12,"mu=0.75, sigma=2.00",0.75,2,50,0.332,0,0,0.8171918543221289,0.7910353780526814
12,"mu=0.75, sigma=2.00",0.75,2,100,0.322,0,0,0.7228668409481782,0.7584408477292761
12,"mu=0.75, sigma=2.00",0.75,2,200,0.352,0,0,0.6176738877635306,0.7428521945975186
12,"mu=0.75, sigma=2.00",0.75,2,400,0.408,0,0,0.5827045335572701,0.710517925104164
12,"mu=0.75, sigma=2.00",0.75,2,800,0.392,0,0,0.5185771570248071,0.5839221413299881
12,"mu=0.75, sigma=2.00",0.75,2,1600,0.402,0,0,0.4744751375679863,0.46809105849495974
13,"mu=1.50, sigma=2.00",1.5,2,25,0.192,0,0,0.8222949669040464,0.7249495830540624
13,"mu=1.50, sigma=2.00",1.5,2,50,0.166,0,0,0.6837724077873373,0.5609534678704435
13,"mu=1.50, sigma=2.00",1.5,2,100,0.176,0,0,0.5965961274990499,0.4369933405252773
13,"mu=1.50, sigma=2.00",1.5,2,200,0.154,0,0,0.5014078975711342,0.31492788120502824
13,"mu=1.50, sigma=2.00",1.5,2,400,0.058,0,0,0.33221703653709506,0.23099964469372547
13,"mu=1.50, sigma=2.00",1.5,2,800,0.024,0,0,0.2343684420511497,0.1734372711817955
13,"mu=1.50, sigma=2.00",1.5,2,1600,0.006,0,0,0.1582343279360483,0.11799241729153598
14,"mu=2.25, sigma=2.00",2.25,2,25,0.076,0,0,0.6977777333300142,0.5487816130898394
14,"mu=2.25, sigma=2.00",2.25,2,50,0.038,0,0,0.5205541005056862,0.4234268605329922
