"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","gamma_lab","net_size","p_success"
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,200,0.1,0.1,"gamma=0.1",496,1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,400,0.1,0.1,"gamma=0.1",496,1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,800,0.1,0.1,"gamma=0.1",496,1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,50,0.1,0.05,"gamma=0.05",1891,0.906666666666667
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,100,0.1,0.05,"gamma=0.05",1891,0.973333333333333
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,200,0.1,0.05,"gamma=0.05",1891,1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,400,0.1,0.05,"gamma=0.05",1891,1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,800,0.1,0.05,"gamma=0.05",1891,1
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,50,0.1,0.1,"gamma=0.1",496,0.0733333333333333
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,100,0.1,0.1,"gamma=0.1",496,0.113333333333333
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,200,0.1,0.1,"gamma=0.1",496,0.133333333333333
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,400,0.1,0.1,"gamma=0.1",496,0.166666666666667
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,800,0.1,0.1,"gamma=0.1",496,0.1
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,50,0.1,0.05,"gamma=0.05",1891,0.0466666666666667
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,100,0.1,0.05,"gamma=0.05",1891,0.0933333333333333
