"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","q10","q25","q50","q75","q90"
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,800,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.0500000000000003,0.0500000000000003,0.0500000000000003
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,50,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.0500000000000003,0.1,0.11180339887499
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.05,"gamma=0.05",1891,0,0,0.0499999999999998,0.0500000000000003,0.1
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.05,"gamma=0.05",1891,0,0,0.0499999999999998,0.0500000000000002,0.0500000000000003
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.05,"gamma=0.05",1891,0,0,0,0.0499999999999998,0.0500000000000003
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,800,0.05,"gamma=0.05",1891,0,0,0,0,0.0499999999999998
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,50,0.1,"gamma=0.1",496,0,0,0,0.0999999999999996,0.1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,100,0.1,"gamma=0.1",496,0,0,0,0,0.1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,200,0.1,"gamma=0.1",496,0,0,0,0,0
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,400,0.1,"gamma=0.1",496,0,0,0,0,0
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,800,0.1,"gamma=0.1",496,0,0,0,0,0
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,50,0.05,"gamma=0.05",1891,0,0,0.0499999999999998,0.05,0.1
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,100,0.05,"gamma=0.05",1891,0,0,0.0499999999999998,0.05,0.0707106781186547
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,200,0.05,"gamma=0.05",1891,0,0,0,0.0499999999999998,0.05
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,400,0.05,"gamma=0.05",1891,0,0,0,0,0.0499999999999998
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,800,0.05,"gamma=0.05",1891,0,0,0,0,0
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,50,0.1,"gamma=0.1",496,0.111803398874989,0.206155281280883,0.466338139733737,0.667010901765264,0.80156097709407
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,100,0.1,"gamma=0.1",496,0.05,0.15,0.335410196624968,0.610327780786685,0.743303437365925
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,200,0.1,"gamma=0.1",496,0.05,0.11180339887499,0.304138126514911,0.522015325445527,0.65
